****
1
      3.42525091             0.15432897       
      0.62391373             0.53532814       
      0.16885540             0.44463454       
****
2
      6.36242139             0.15432897       
      1.15892300             0.53532814       
      0.31364979             0.44463454       
****
3
     16.1195750              0.15432897       0
      2.9362007              0.53532814       0
      0.7946505              0.44463454       0
      0.6362897             -0.09996723             0.15591627       
      0.1478601              0.39951283             0.60768372       
      0.0480887              0.70011547             0.39195739       
****
4
     30.1678710              0.15432897       0
      5.4951153              0.53532814       0
      1.4871927              0.44463454       0
      1.3148331             -0.09996723             0.15591627       
      0.3055389              0.39951283             0.60768372       
      0.0993707              0.70011547             0.39195739       
****
5
     48.7911130              0.15432897       0
      8.8873622              0.53532814       0
      2.4052670              0.44463454       0
      2.2369561             -0.09996723             0.15591627       
      0.5198205              0.39951283             0.60768372       
      0.1690618              0.70011547             0.39195739       
****
6
     71.6168370              0.15432897       0
     13.0450960              0.53532814       0
      3.5305122              0.44463454       0
      2.9412494             -0.09996723             0.15591627       
      0.6834831              0.39951283             0.60768372       
      0.2222899              0.70011547             0.39195739       
****
7
     99.1061690              0.15432897       0
     18.0523120              0.53532814       0
      4.8856602              0.44463454       0
      3.7804559             -0.09996723             0.15591627       
      0.8784966              0.39951283             0.60768372       
      0.2857144              0.70011547             0.39195739       
****
8
    130.7093200              0.15432897       0
     23.8088610              0.53532814       0
      6.4436083              0.44463454       0
      5.0331513             -0.09996723             0.15591627       
      1.1695961              0.39951283             0.60768372       
      0.3803890              0.70011547             0.39195739       
****
9
    166.6791300              0.15432897       0
     30.3608120              0.53532814       0
      8.2168207              0.44463454       0
      6.4648032             -0.09996723             0.15591627       
      1.5022812              0.39951283             0.60768372       
      0.4885885              0.70011547             0.39195739       
****
10 
    207.0156100              0.15432897       0
     37.7081510              0.53532814       0
     10.2052970              0.44463454       0
      8.2463151             -0.09996723             0.15591627       
      1.9162662              0.39951283             0.60768372       
      0.6232293              0.70011547             0.39195739       
****
